time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x,y,z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/02/28/14:16:49.894050,28325,1677611809,884855850,map,0.229867741465569,-0.357557207345962,1.42318439483643,0.001838397458296,0.019076026494055,-0.03674412829398,-0.99914094581938
2023/02/28/14:16:49.930266,28326,1677611809,906530383,map,0.229783296585083,-0.357596665620804,1.42281925678253,0.0018080359223,0.019848407005687,-0.03776728518843,-0.999087840790256
2023/02/28/14:16:49.930290,28327,1677611809,907097472,map,0.22969962656498,-0.357636123895645,1.42243587970734,0.0018080359223,0.019848407005687,-0.03776728518843,-0.999087840790256
2023/02/28/14:16:49.930349,28328,1677611809,918143360,map,0.229620069265366,-0.357677310705185,1.42203843593597,0.0018080359223,0.019848407005687,-0.03776728518843,-0.999087840790256
2023/02/28/14:16:49.993661,28329,1677611809,941139365,map,0.229540914297104,-0.357724368572235,1.4216296672821,0.0018080359223,0.019848407005687,-0.03776728518843,-0.999087840790256
2023/02/28/14:16:49.993677,28330,1677611809,941498691,map,0.229368031024933,-0.357854932546616,1.42080748081207,0.0018080359223,0.019848407005687,-0.03776728518843,-0.999087840790256
2023/02/28/14:16:49.993692,28331,1677611809,958508231,map,0.229282364249229,-0.357921302318573,1.42038488388062,0.001481538116321,0.020106601892388,-0.039195009681737,-0.999028202999613
2023/02/28/14:16:49.993708,28332,1677611809,963756303,map,0.229199334979057,-0.357990741729736,1.4199583530426,0.001481538116321,0.020106601892388,-0.039195009681737,-0.999028202999613
2023/02/28/14:16:49.993739,28333,1677611809,977073932,map,0.229128897190094,-0.358059674501419,1.41952323913574,0.001481538116321,0.020106601892388,-0.039195009681737,-0.999028202999613
2023/02/28/14:16:50.026584,28334,1677611810,6187339,map,0.229066595435142,-0.358128070831299,1.41908228397369,0.001481538116321,0.020106601892388,-0.039195009681737,-0.999028202999613
2023/02/28/14:16:50.026926,28335,1677611810,6881200,map,0.229011118412018,-0.35819810628891,1.41864240169525,0.001467220700173,0.020400866578879,-0.039854565714084,-0.998996129247896
2023/02/28/14:16:50.028399,28336,1677611810,15943007,map,0.22896221280098,-0.358266144990921,1.41819524765015,0.001467220700173,0.020400866578879,-0.039854565714084,-0.998996129247896
2023/02/28/14:16:50.028443,28337,1677611810,22248120,map,0.228919446468353,-0.358329296112061,1.41774380207062,0.001467220700173,0.020400866578879,-0.039854565714084,-0.998996129247896
2023/02/28/14:16:50.071601,28338,1677611810,33350884,map,0.228832945227623,-0.358451008796692,1.41683292388916,0.001467220700173,0.020400866578879,-0.039854565714084,-0.998996129247896
2023/02/28/14:16:50.071801,28339,1677611810,46589502,map,0.228784322738647,-0.358518868684769,1.41636633872986,0.00076988067668,0.020391760883967,-0.040933103567477,-0.998953476637204
2023/02/28/14:16:50.071858,28340,1677611810,58369096,map,0.228731513023376,-0.358597040176392,1.41589510440826,0.00076988067668,0.020391760883967,-0.040933103567477,-0.998953476637204
2023/02/28/14:16:50.071893,28341,1677611810,70270982,map,0.22867152094841,-0.358686119318008,1.41542947292328,0.00076988067668,0.020391760883967,-0.040933103567477,-0.998953476637204
2023/02/28/14:16:50.160604,28342,1677611810,81314058,map,0.228606432676315,-0.358780026435852,1.41495859622955,-4.88791490159375E-05,0.019470908220287,-0.041689555204551,-0.998940916876347
2023/02/28/14:16:50.166079,28343,1677611810,93711209,map,0.228546231985092,-0.358877778053284,1.41448557376862,-4.88791490159375E-05,0.019470908220287,-0.041689555204551,-0.998940916876347
2023/02/28/14:16:50.166147,28344,1677611810,107087120,map,0.228457048535347,-0.359083950519562,1.41357219219208,-4.88791490159375E-05,0.019470908220287,-0.041689555204551,-0.998940916876347
2023/02/28/14:16:50.167398,28345,1677611810,124076868,map,0.228423282504082,-0.359192788600922,1.41311764717102,-4.88791490159375E-05,0.019470908220287,-0.041689555204551,-0.998940916876347
2023/02/28/14:16:50.167491,28346,1677611810,126187201,map,0.228398859500885,-0.359311103820801,1.41266334056854,-6.78175719765041E-05,0.018317746737427,-0.042203409581596,-0.998941169757438
2023/02/28/14:16:50.175250,28347,1677611810,139945043,map,0.228383392095566,-0.359438925981522,1.41222274303436,-6.78175719765041E-05,0.018317746737427,-0.042203409581596,-0.998941169757438
2023/02/28/14:16:50.175556,28348,1677611810,160621598,map,0.228377684950828,-0.359568297863007,1.41178548336029,-6.78175719765041E-05,0.018317746737427,-0.042203409581596,-0.998941169757438
2023/02/28/14:16:50.175630,28349,1677611810,162562502,map,0.228373065590858,-0.359702110290527,1.41134762763977,-6.78175719765041E-05,0.018317746737427,-0.042203409581596,-0.998941169757438
2023/02/28/14:16:50.231144,28350,1677611810,173233960,map,0.22836497426033,-0.35984605550766,1.41092193126678,-6.78175719765041E-05,0.018317746737427,-0.042203409581596,-0.998941169757438
2023/02/28/14:16:50.231228,28351,1677611810,201943822,map,0.228316962718964,-0.360272198915482,1.40993201732636,0.000927095007071,0.017445123239334,-0.042036760942584,-0.998963338999755
2023/02/28/14:16:50.231252,28352,1677611810,209823325,map,0.228306457400322,-0.36043843626976,1.40953898429871,0.000927095007071,0.017445123239334,-0.042036760942584,-0.998963338999755
2023/02/28/14:16:50.231272,28353,1677611810,221765056,map,0.228286474943161,-0.360613435506821,1.40915048122406,0.000927095007071,0.017445123239334,-0.042036760942584,-0.998963338999755
2023/02/28/14:16:50.308336,28354,1677611810,237586095,map,0.228262022137642,-0.360796481370926,1.40877878665924,0.001863634200931,0.016472804005266,-0.041404431774375,-0.999005022232932
2023/02/28/14:16:50.308376,28355,1677611810,240304715,map,0.22824501991272,-0.36098051071167,1.40841412544251,0.001863634200931,0.016472804005266,-0.041404431774375,-0.999005022232932
2023/02/28/14:16:50.311217,28356,1677611810,256143254,map,0.228232964873314,-0.36134660243988,1.40770387649536,0.001863634200931,0.016472804005266,-0.041404431774375,-0.999005022232932
2023/02/28/14:16:50.316245,28357,1677611810,266875962,map,0.228238508105278,-0.361533612012863,1.40736830234528,0.001863634200931,0.016472804005266,-0.041404431774375,-0.999005022232932
2023/02/28/14:16:50.316281,28358,1677611810,279063320,map,0.228256806731224,-0.361722588539124,1.40704333782196,0.002447918596016,0.015068576380004,-0.040060790243847,-0.999080633679161
2023/02/28/14:16:50.316298,28359,1677611810,287598767,map,0.228281274437904,-0.361920893192291,1.40674006938934,0.002447918596016,0.015068576380004,-0.040060790243847,-0.999080633679161
2023/02/28/14:16:50.316315,28360,1677611810,297801523,map,0.228313460946083,-0.362122178077698,1.4064439535141,0.002447918596016,0.015068576380004,-0.040060790243847,-0.999080633679161
2023/02/28/14:16:50.407121,28361,1677611810,316795092,map,0.228353649377823,-0.362327843904495,1.40615689754486,0.002447918596016,0.015068576380004,-0.040060790243847,-0.999080633679161
2023/02/28/14:16:50.407309,28362,1677611810,322404990,map,0.228398770093918,-0.362534463405609,1.405881524086,0.002351011137488,0.013818822222891,-0.03764387921599,-0.999192955030442
2023/02/28/14:16:50.407488,28363,1677611810,332123366,map,0.22845670580864,-0.362929970026016,1.40537810325623,0.002351011137488,0.013818822222891,-0.03764387921599,-0.999192955030442
2023/02/28/14:16:50.407740,28364,1677611810,349127333,map,0.228455975651741,-0.363115608692169,1.40515458583832,0.002351011137488,0.013818822222891,-0.03764387921599,-0.999192955030442
2023/02/28/14:16:50.407771,28365,1677611810,366310312,map,0.228440687060356,-0.363299012184143,1.40494251251221,0.002351011137488,0.013818822222891,-0.03764387921599,-0.999192955030442
2023/02/28/14:16:50.407870,28366,1677611810,369656126,map,0.228410869836807,-0.363491237163544,1.40474939346313,0.001501682334276,0.012727553387069,-0.03341393720574,-0.99935943508206
2023/02/28/14:16:50.407915,28367,1677611810,383480531,map,0.228363290429115,-0.363681972026825,1.40455937385559,0.001501682334276,0.012727553387069,-0.03341393720574,-0.99935943508206
2023/02/28/14:16:50.408179,28368,1677611810,392168896,map,0.228291854262352,-0.363871306180954,1.40436828136444,0.001501682334276,0.012727553387069,-0.03341393720574,-0.99935943508206
2023/02/28/14:16:50.550433,28369,1677611810,406097781,map,0.228201970458031,-0.36406946182251,1.4041942358017,0.001501682334276,0.012727553387069,-0.03341393720574,-0.99935943508206
2023/02/28/14:16:50.550451,28370,1677611810,416820281,map,0.22796855866909,-0.364480078220367,1.40385758876801,0.00028505099028,0.012620776322,-0.026043802100337,-0.999581127505228
2023/02/28/14:16:50.550470,28371,1677611810,429163630,map,0.227825194597244,-0.364685595035553,1.4036877155304,0.00028505099028,0.012620776322,-0.026043802100337,-0.999581127505228
2023/02/28/14:16:50.550489,28372,1677611810,439966756,map,0.227734729647636,-0.364833474159241,1.40373516082764,0.00028505099028,0.012620776322,-0.026043802100337,-0.999581127505228
2023/02/28/14:16:50.551073,28373,1677611810,453233707,map,0.227406665682793,-0.365297675132751,1.40344905853271,0.00028505099028,0.012620776322,-0.026043802100337,-0.999581127505228
2023/02/28/14:16:50.551106,28374,1677611810,463458390,map,0.227213531732559,-0.365549147129059,1.40331792831421,-6.20460879085447E-05,0.013779475505628,-0.013994566020103,-0.999807161053792
2023/02/28/14:16:50.551142,28375,1677611810,474456101,map,0.227002292871475,-0.36580765247345,1.40319085121155,-6.20460879085447E-05,0.013779475505628,-0.013994566020103,-0.999807161053792
2023/02/28/14:16:50.551166,28376,1677611810,486128558,map,0.226765275001526,-0.366075545549393,1.4030579328537,-6.20460879085447E-05,0.013779475505628,-0.013994566020103,-0.999807161053792
2023/02/28/14:16:50.551246,28377,1677611810,497087935,map,0.226497411727905,-0.36635833978653,1.40291881561279,-6.20460879085447E-05,0.013779475505628,-0.013994566020103,-0.999807161053792
2023/02/28/14:16:50.551275,28378,1677611810,508879404,map,0.226205721497536,-0.366647005081177,1.40276396274567,0.000255016750905,0.016509342688747,0.002070421786249,-0.999861572635219
2023/02/28/14:16:50.552618,28379,1677611810,524421117,map,0.22588986158371,-0.366942316293716,1.40259301662445,0.000255016750905,0.016509342688747,0.002070421786249,-0.999861572635219
2023/02/28/14:16:50.552651,28380,1677611810,532978856,map,0.225184395909309,-0.367564022541046,1.40219259262085,0.000255016750905,0.016509342688747,0.002070421786249,-0.999861572635219
2023/02/28/14:16:50.556949,28381,1677611810,546130598,map,0.224807664752007,-0.367877721786499,1.40194737911224,0.000255016750905,0.016509342688747,0.002070421786249,-0.999861572635219
2023/02/28/14:16:50.757419,28382,1677611810,562313464,map,0.22441354393959,-0.368197828531265,1.40167582035065,-0.000280311445456,0.020054456362612,0.022192633817654,-0.999552509795089
2023/02/28/14:16:50.757436,28383,1677611810,578078304,map,0.224000215530395,-0.368537962436676,1.40139985084534,-0.000280311445456,0.020054456362612,0.022192633817654,-0.999552509795089
2023/02/28/14:16:50.757453,28384,1677611810,578823624,map,0.223560243844986,-0.368890047073364,1.4011048078537,-0.000280311445456,0.020054456362612,0.022192633817654,-0.999552509795089
2023/02/28/14:16:50.757472,28385,1677611810,593785227,map,0.223080471158028,-0.36925283074379,1.4007830619812,-0.000280311445456,0.020054456362612,0.022192633817654,-0.999552509795089
2023/02/28/14:16:50.757490,28386,1677611810,602833909,map,0.222555696964264,-0.369631469249725,1.40045142173767,-0.003508906238272,0.022897801301168,0.047986968721655,-0.998579296916124
2023/02/28/14:16:50.757507,28387,1677611810,618295569,map,0.221316576004028,-0.370406329631805,1.39969921112061,-0.003508906238272,0.022897801301168,0.047986968721655,-0.998579296916124
2023/02/28/14:16:50.757525,28388,1677611810,630294644,map,0.220607548952103,-0.370806246995926,1.39929389953613,-0.003508906238272,0.022897801301168,0.047986968721655,-0.998579296916124
2023/02/28/14:16:50.757543,28389,1677611810,636938406,map,0.219848394393921,-0.371215760707855,1.39885997772217,-0.003508906238272,0.022897801301168,0.047986968721655,-0.998579296916124
2023/02/28/14:16:50.757560,28390,1677611810,650496090,map,0.219033047556877,-0.371634244918823,1.39839029312134,-0.006687387769663,0.025500300049543,0.072937355131073,-0.996988042650595
2023/02/28/14:16:50.757578,28391,1677611810,665612747,map,0.218168511986732,-0.372048169374466,1.39788734912872,-0.006687387769663,0.025500300049543,0.072937355131073,-0.996988042650595
2023/02/28/14:16:50.757599,28392,1677611810,678802042,map,0.217264801263809,-0.372450798749924,1.39737331867218,-0.006687387769663,0.025500300049543,0.072937355131073,-0.996988042650595
2023/02/28/14:16:50.759700,28393,1677611810,683671933,map,0.216312721371651,-0.372822314500809,1.39683890342712,-0.006687387769663,0.025500300049543,0.072937355131073,-0.996988042650595
2023/02/28/14:16:50.759720,28394,1677611810,697123782,map,0.214293032884598,-0.373442202806473,1.39574110507965,-0.006375589335646,0.029320518057439,0.099295994189787,-0.994605481304274
2023/02/28/14:16:50.764893,28395,1677611810,704063224,map,0.213220611214638,-0.37367582321167,1.39519143104553,-0.006375589335646,0.029320518057439,0.099295994189787,-0.994605481304274
2023/02/28/14:16:50.764921,28396,1677611810,715257760,map,0.212096720933914,-0.373841226100922,1.39464724063873,-0.006375589335646,0.029320518057439,0.099295994189787,-0.994605481304274
2023/02/28/14:16:50.764942,28397,1677611810,735903012,map,0.210922598838806,-0.373934626579285,1.3941285610199,-0.006375589335646,0.029320518057439,0.099295994189787,-0.994605481304274
2023/02/28/14:16:50.764963,28398,1677611810,740091022,map,0.209689289331436,-0.373944044113159,1.3936151266098,-0.006016345404008,0.030051349678974,0.124764323220555,-0.991712943090972
2023/02/28/14:16:50.764984,28399,1677611810,753111617,map,0.20841258764267,-0.37387552857399,1.39310669898987,-0.006016345404008,0.030051349678974,0.124764323220555,-0.991712943090972
2023/02/28/14:16:50.907081,28400,1677611810,764512456,map,0.207110047340393,-0.373738139867783,1.39261162281036,-0.006016345404008,0.030051349678974,0.124764323220555,-0.991712943090972
2023/02/28/14:16:50.907095,28401,1677611810,772755245,map,0.20445305109024,-0.373264133930206,1.39172518253326,-0.006016345404008,0.030051349678974,0.124764323220555,-0.991712943090972
2023/02/28/14:16:50.907109,28402,1677611810,787394553,map,0.203088611364365,-0.372929275035858,1.39133322238922,-0.006811018964324,0.028708861918425,0.148607722653835,-0.988456003225444
2023/02/28/14:16:50.907123,28403,1677611810,796027918,map,0.201703310012817,-0.372532814741135,1.3909809589386,-0.006811018964324,0.028708861918425,0.148607722653835,-0.988456003225444
2023/02/28/14:16:50.907136,28404,1677611810,807830012,map,0.200314000248909,-0.372077465057373,1.39068686962128,-0.006811018964324,0.028708861918425,0.148607722653835,-0.988456003225444
